Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
4/1/2021,13.04619884,13.58243311,12.89597378,13.03699663,560640000
5/1/2021,13.33595085,13.37450167,13.01983171,13.03251594,322760000
6/1/2021,12.54975986,13.17702385,12.52140653,13.15463929,580424000
7/1/2021,13.27551746,13.30909479,12.82036588,12.90094956,461480000
8/1/2021,13.20861149,13.35212109,12.97506646,13.29392198,292528000
11/1/2021,13.55158901,13.88934699,13.29391848,13.3498794,518344000
12/1/2021,13.41554356,13.68390974,13.27651125,13.6819192,291476000
13/1/2021,13.46230125,13.55507294,13.31630491,13.42076557,210028000
14/1/2021,13.1325016,13.52995113,13.11285332,13.5053284,283120000
15/1/2021,12.79350185,13.25686125,12.78255863,13.16011038,277780000
19/1/2021,12.95839977,13.02679635,12.77807945,12.94944519,226188000
20/1/2021,13.29715443,13.36157183,12.98974027,13.04445735,258572000
21/1/2021,13.79632759,13.92740151,13.18498137,13.34963165,337780000
22/1/2021,13.64212322,13.7707104,13.55731085,13.66948224,246820000
25/1/2021,13.58317852,13.75752916,13.16856741,13.71101902,251112000
26/1/2021,13.36629677,13.57472092,13.31879136,13.51080067,163980000
27/1/2021,12.85145092,13.16483379,12.72808679,13.16209751,371272000
28/1/2021,12.98401737,13.27128605,12.89398197,12.92954888,228316000
29/1/2021,12.92308235,13.26631197,12.84523402,13.00789472,271552000
1/2/2021,13.16906452,13.20264089,12.83652954,12.98625743,217204000
2/2/2021,13.48717308,13.50234407,13.21731449,13.32998399,220440000
3/2/2021,13.46105671,13.86024723,13.44712862,13.56601451,245408000
4/2/2021,13.59412384,13.60332606,13.26929954,13.46155746,201340000
5/2/2021,13.52124691,13.66674704,13.47622921,13.65455996,169152000
8/2/2021,14.36464787,14.39946809,13.65679925,13.65679925,434624000
9/2/2021,14.19004726,14.50840463,14.1495059,14.2671489,287560000
10/2/2021,14.68847466,14.82850221,14.26789483,14.38901985,485352000
11/2/2021,15.17247868,15.19386892,14.84840111,14.90336772,450828000
12/2/2021,14.88446426,15.21277052,14.69916948,14.97275866,374756000
16/2/2021,15.2515707,15.29360449,14.87327227,14.98693609,321960000
17/2/2021,14.82949734,15.14536793,14.70414361,15.09313666,274756000
18/2/2021,14.75289345,14.79691588,14.50019639,14.6534063,233868000
19/2/2021,14.84989166,15.09910573,14.77055091,14.94738826,271724000
22/2/2021,14.28207302,15.05558286,14.25148056,14.69892229,325884000
